,model,tp,fp,tn,fn,bal_acc,prec,recall,pr_auc,f1,mc_coef,batch_s,data,series,probability_y,true_y
0,model_XGB,191,0,999,0,1.0,1.0,1.0,0.9999999999999996,1.0,1.0,,train,imbalanced,"[1.0692914e-03 1.4164667e-03 1.2491182e-02 ... 4.3441782e-05 3.4570305e-06
 5.3799668e-06]",[0 0 0 ... 0 0 0]
1,model_XGB,5,4,107,17,0.5956183456183456,0.5555555555555556,0.22727272727272727,0.4498889757743802,0.3225806451612903,0.28288632481371073,,val,imbalanced,"[1.67783393e-04 2.42303889e-02 1.92305059e-04 5.89973351e-04
 1.04866542e-01 3.59226338e-04 1.29544700e-04 5.36020612e-03
 7.09819549e-04 6.59061372e-01 5.81263751e-02 1.42177204e-02
 3.85943870e-03 6.01961790e-03 3.01660293e-05 1.93759531e-03
 4.79983650e-02 3.12442076e-03 1.17024876e-01 2.48184241e-03
 3.19298476e-01 6.49692884e-05 6.77658059e-03 7.32365472e-04
 2.97540595e-04 1.58918574e-02 7.41661433e-03 3.69446278e-02
 1.19273420e-04 8.42717849e-03 4.73251785e-05 1.07938889e-03
 7.17161417e-01 9.80229862e-03 4.65950638e-01 3.95385832e-05
 2.61506084e-05 1.49503743e-04 2.33388226e-03 5.39540639e-03
 7.14117923e-05 5.80328597e-05 5.79990260e-03 1.77727577e-06
 1.64998910e-05 5.77888204e-05 2.21575424e-01 4.22564452e-04
 2.27492768e-03 1.23012233e-05 1.35358924e-03 7.91063830e-02
 1.74755827e-04 1.69445804e-04 3.82819380e-05 9.06822205e-01
 2.09643948e-03 3.58433789e-03 7.57039699e-04 7.88875332e-04
 1.99141723e-04 1.29532337e-01 7.74178261e-05 5.20567410e-04
 2.97454894e-02 1.80899369e-04 3.09592299e-02 6.99664815e-04
 4.22716439e-01 1.05924588e-02 2.21192720e-03 9.95759070e-01
 2.79646227e-03 1.02625221e-01 9.01563000e-03 2.13165730e-01
 1.25326996e-03 4.89834165e-05 4.46439772e-05 3.75708775e-03
 1.24370027e-02 1.75536296e-03 1.29796239e-03 2.40413628e-05
 1.09689729e-03 8.17942441e-01 3.91983849e-06 1.06402241e-01
 9.71779809e-04 3.22541483e-02 4.69141128e-03 1.09449029e-03
 2.00847462e-01 4.89671307e-04 1.02938972e-01 1.14883613e-02
 1.20313475e-02 8.15101802e-01 2.73926258e-02 2.71409929e-01
 3.50343017e-03 6.04078174e-03 2.80108154e-01 5.97443839e-04
 1.65549034e-04 7.46395141e-02 1.64135708e-03 5.69893236e-05
 3.33119556e-06 2.25695603e-05 1.06748039e-05 8.96093261e-05
 2.96554435e-03 9.89674270e-01 4.76784492e-03 8.50254728e-05
 1.47063568e-01 1.58547595e-01 5.38075110e-04 3.44061911e-01
 5.98875886e-05 1.54212437e-04 5.32501519e-01 1.36782462e-03
 3.83197926e-02 4.49391417e-02 2.07083867e-04 9.06461239e-01
 1.87033846e-04 6.64848892e-04 6.62404895e-02 1.02373526e-01
 6.81342208e-04]","[0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0
 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 1 1 0 0 0 1 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 1 0 0 0 0
 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0]"
2,model_XGB,4,1,122,20,0.5792682926829268,0.8,0.16666666666666666,0.4476845306786951,0.27586206896551724,0.32326486317303493,,test,imbalanced,"[7.97343273e-06 8.31526332e-03 1.79173730e-05 3.42710264e-04
 1.57670584e-02 1.09526319e-02 4.54957735e-05 4.51100961e-04
 7.65279448e-03 1.19866371e-01 1.42561998e-02 3.38886050e-03
 1.23196669e-05 3.83142047e-02 8.96869227e-02 6.15986530e-04
 5.98032284e-06 2.35107364e-04 5.21330059e-01 4.65250378e-05
 3.63948457e-02 4.40739654e-03 4.68595047e-03 3.16754639e-01
 6.80157589e-03 3.95683898e-03 2.30685025e-01 4.20450605e-02
 5.73826492e-06 9.90641534e-01 9.11153574e-03 6.21169238e-05
 1.31837316e-02 5.55004544e-06 1.35201998e-02 1.61534864e-02
 1.31611705e-01 1.86990146e-04 7.25095719e-03 1.66370173e-03
 1.33019709e-03 8.37493129e-03 3.55613828e-02 1.38136998e-01
 1.93858301e-04 3.19631235e-03 1.91856295e-01 8.75204423e-05
 9.82835772e-04 3.02751688e-03 7.99301360e-03 3.34775262e-03
 2.43137702e-02 8.83775647e-04 1.16258031e-02 3.79774859e-03
 6.59916259e-06 9.24550695e-05 1.22136079e-01 2.02998309e-03
 4.18914884e-01 8.58966727e-03 1.65294929e-04 2.15992153e-01
 6.37761783e-03 2.12112340e-04 3.78048047e-02 9.22181061e-04
 1.24332551e-02 2.05654535e-04 1.37221068e-02 2.49695852e-01
 1.03893435e-04 5.52137056e-03 9.03499052e-02 1.11166551e-03
 4.19520885e-02 2.54280299e-01 7.37787858e-02 2.95320442e-05
 1.97995035e-03 3.34654702e-03 6.78913388e-03 1.26629576e-01
 1.53341614e-06 7.03420714e-02 7.44724832e-03 1.43550031e-04
 3.62127759e-02 6.32830721e-04 3.09187062e-02 2.49989331e-04
 3.40635015e-04 9.51687456e-04 8.40703472e-02 3.98032498e-05
 2.47797985e-02 1.45422632e-03 7.70276180e-03 1.23105757e-02
 7.36793561e-04 3.87042388e-03 4.47152590e-04 2.91061215e-02
 3.18040303e-03 2.06757849e-03 1.62852718e-03 9.81156807e-03
 1.37027208e-04 2.37102509e-02 2.30571050e-02 4.59846668e-03
 8.17336235e-03 3.10503645e-04 3.02860374e-03 5.74762875e-04
 6.00697985e-03 2.39573009e-02 8.13907683e-01 7.28569226e-04
 7.95261469e-03 9.04653296e-02 3.57942990e-05 2.02165972e-02
 1.48926640e-03 5.53075661e-05 2.90906872e-03 4.67551231e-01
 5.74538887e-01 2.64711468e-03 7.02758962e-06 1.79566781e-03
 4.89213744e-05 9.81070161e-01 4.78797499e-03 6.35733304e-04
 4.76858768e-05 3.20069818e-03 1.19349500e-02 3.12429009e-04
 8.47354904e-03 1.67126200e-04 5.36526903e-04 8.77258461e-03
 5.26303649e-02 1.72893740e-02 1.25729316e-03]","[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0
 0 0 0 1 0 1 0 0 0 1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0
 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0
 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0]"
3,model_XGB,191,0,999,0,1.0,1.0,1.0,0.9999999999999996,1.0,1.0,,train,imbalanced,"[1.6694050e-03 4.1667299e-04 1.9204112e-02 ... 1.4025069e-05 5.4289732e-04
 2.7085338e-05]",[0 0 0 ... 0 0 0]
4,model_XGB,8,1,110,14,0.6773136773136773,0.8888888888888888,0.36363636363636365,0.5764214666115799,0.5161290322580644,0.5245814931234979,,val,imbalanced,"[5.33396378e-04 9.87201095e-01 2.05159724e-01 4.12309309e-03
 4.49366416e-06 1.67386364e-02 6.04075640e-02 9.99643445e-01
 8.42885231e-04 5.15351667e-06 1.15987174e-02 1.07736103e-02
 3.78713914e-04 3.34179131e-05 9.27630067e-03 3.96265415e-03
 2.81001528e-04 9.08872128e-01 1.40829951e-01 1.86779536e-04
 7.06053525e-03 1.85448141e-06 4.23427671e-03 1.27269030e-01
 3.20566189e-03 2.10053753e-03 7.44366203e-04 6.19920017e-03
 2.24735215e-03 3.91972698e-02 1.34157509e-01 7.89856946e-04
 2.66264682e-03 7.11950380e-03 2.23874792e-01 2.67371871e-02
 4.73288335e-02 2.51546479e-03 4.16606665e-04 1.08516717e-03
 1.77803088e-03 8.50918703e-03 2.84975613e-06 1.59043178e-04
 8.66774208e-05 5.55657744e-01 8.89673710e-01 7.96465814e-01
 1.07645281e-02 5.78281423e-03 3.41197506e-06 1.75516645e-04
 8.67246883e-04 5.67734949e-02 6.04683440e-03 7.46140331e-02
 7.23433169e-03 3.98658274e-04 4.93153493e-05 1.03279715e-03
 9.85970080e-01 5.52982325e-04 1.88776967e-03 4.67295526e-04
 1.05645937e-04 8.64307489e-03 1.85451703e-03 9.96078312e-01
 2.39074525e-05 1.08356914e-03 2.99944519e-03 1.60448789e-03
 5.78953011e-04 4.17857803e-02 1.47742641e-04 3.10322568e-02
 3.13384298e-05 3.28029552e-03 1.80672519e-04 1.51473185e-04
 8.40465631e-03 1.25895705e-04 5.63328452e-02 3.40173538e-05
 1.43479614e-03 1.09250650e-04 1.68141341e-04 1.81406543e-01
 6.39184862e-02 9.74354055e-03 1.94113985e-01 5.96749247e-04
 2.58696033e-03 6.82498678e-04 2.98545539e-01 2.46767595e-01
 1.50704815e-03 8.30948353e-04 7.90143749e-05 1.44232363e-01
 3.02439090e-03 1.40752316e-01 8.21447684e-05 7.78604150e-01
 1.83971338e-02 2.16333763e-04 8.80959968e-04 2.57669990e-06
 2.02683243e-03 6.22036960e-03 5.81295323e-03 3.47097917e-03
 1.14685514e-04 6.10818854e-03 4.26861079e-04 2.17481963e-02
 8.82705674e-02 3.02186254e-02 3.76706501e-03 2.97116488e-02
 2.24545875e-04 4.93470172e-04 2.30858311e-01 6.36223564e-03
 1.03358796e-03 1.70987681e-04 2.23313345e-05 2.12991424e-03
 5.32279275e-02 7.36768648e-04 4.62613272e-04 2.71586515e-02
 1.14341255e-03]","[0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
 0 1 0 1 1 0 0 0 1 1 1 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0
 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0]"
5,model_XGB,3,3,120,21,0.5503048780487805,0.5,0.125,0.4791894411913075,0.2,0.1879373467131248,,test,imbalanced,"[5.85318448e-05 4.51523028e-02 5.53320970e-05 1.03813218e-04
 3.08754388e-02 5.41063733e-02 9.45641659e-06 2.70007906e-04
 2.55692028e-03 9.08559095e-03 1.91407707e-02 2.73846177e-04
 3.24488683e-05 1.63145792e-02 5.73262930e-01 4.29608364e-04
 4.92266408e-05 1.44575909e-03 3.55909228e-01 3.50312730e-05
 6.00554161e-02 3.59935779e-03 1.44428695e-02 2.32948869e-01
 1.83906890e-02 4.01740381e-03 3.95238772e-02 9.87524316e-02
 5.07635377e-06 9.84645188e-01 1.55269774e-03 1.33269466e-04
 7.21098739e-04 1.63134500e-05 1.28594199e-02 6.72327867e-03
 1.36682212e-01 6.29164046e-04 1.08006746e-02 6.17315341e-03
 6.80389639e-04 1.92479677e-02 1.87686935e-01 2.01514252e-02
 3.40451079e-04 5.60438400e-03 7.50432909e-02 8.49428106e-05
 1.07065029e-02 1.26650048e-04 4.08480782e-03 2.45996634e-03
 4.96123992e-02 2.73169838e-02 2.10858486e-03 2.48338748e-02
 1.00419138e-05 7.75761670e-04 5.12881391e-03 1.31767360e-03
 8.00377652e-02 1.36407182e-01 5.90347394e-04 8.69390666e-02
 7.93769769e-03 2.59017426e-04 7.95673281e-02 9.28624591e-04
 3.26458225e-03 1.54418289e-03 1.36385038e-01 8.17837566e-02
 3.02593526e-05 4.59792512e-03 8.30532890e-03 6.31226285e-04
 3.82756494e-04 1.02981679e-01 5.12851514e-02 5.59749533e-05
 1.40545447e-03 7.42855947e-03 1.04783417e-03 1.83538124e-01
 8.57536179e-06 4.45855930e-02 6.76677446e-04 2.02974351e-03
 3.81379984e-02 1.19763671e-03 3.72054055e-02 1.06095285e-04
 4.97935340e-04 1.88088627e-04 3.62485141e-01 1.18615579e-04
 9.95914787e-02 7.05467712e-04 2.38338090e-03 8.22068006e-03
 5.61613066e-04 3.92365083e-03 3.73069088e-05 9.23920423e-03
 2.38114269e-03 1.56144239e-02 4.47098957e-03 1.30862999e-03
 2.53172545e-03 1.52401961e-02 3.48688709e-03 7.45900860e-03
 2.40249769e-03 3.15539958e-03 1.00265141e-03 2.00475522e-04
 3.72051704e-03 7.79828150e-03 8.94177854e-01 8.89602961e-05
 3.42294574e-04 7.69359916e-02 4.96179600e-05 8.21697712e-02
 9.05826781e-03 2.29605648e-04 1.37236668e-03 5.86399734e-01
 5.87968707e-01 2.52966466e-03 2.95101518e-06 1.07114785e-04
 1.26689201e-05 9.98405278e-01 6.67058378e-02 9.01914173e-05
 1.01213387e-04 5.04581630e-03 5.73983788e-02 9.53621566e-05
 1.26778111e-02 1.26228784e-04 2.43735907e-04 1.31364325e-02
 4.85823125e-01 1.21751884e-02 7.81426381e-04]","[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0
 0 0 0 1 0 1 0 0 0 1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0
 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0
 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0]"
6,model_XGB,191,0,999,0,1.0,1.0,1.0,0.9999999999999996,1.0,1.0,,train,imbalanced,"[1.4842835e-03 4.4422377e-05 3.1989643e-03 ... 3.9767245e-05 7.2123444e-06
 1.3054438e-03]",[0 0 0 ... 0 0 0]
7,model_XGB,8,4,107,14,0.6638001638001638,0.6666666666666666,0.36363636363636365,0.6041357425528675,0.4705882352941177,0.42484826498956463,,val,imbalanced,"[9.68779996e-03 8.81583765e-05 4.16364754e-03 1.41125533e-03
 9.99983072e-01 8.76070380e-01 4.58754133e-04 7.33049750e-01
 6.20490056e-04 1.00109719e-01 1.02361082e-03 8.72347802e-02
 9.79699474e-03 1.05510635e-05 5.70451048e-05 3.99616687e-03
 3.16795498e-01 1.53944921e-02 7.57757528e-03 1.89183265e-04
 1.53878373e-05 7.48148793e-03 9.26244975e-05 1.85781310e-03
 3.05188587e-04 4.75813489e-04 1.04795489e-02 2.12370884e-03
 1.20641068e-02 1.95067539e-03 4.40247506e-01 4.75387991e-04
 4.62992908e-03 1.48078207e-05 1.32048661e-02 7.34132156e-03
 4.31816190e-01 5.92389563e-03 8.18927109e-01 1.17265270e-03
 2.21077725e-03 1.00928638e-03 3.22787455e-05 1.13133050e-03
 5.09452261e-03 1.64963514e-01 5.50430000e-01 9.44593549e-03
 5.51369449e-05 2.09250464e-03 7.14905094e-03 4.31419403e-06
 2.07793969e-03 2.52227229e-03 5.97649021e-03 6.56157583e-02
 8.73288751e-01 8.88645300e-04 2.87874631e-04 4.92313430e-02
 9.99979615e-01 1.42572774e-02 2.31550395e-04 3.86101892e-04
 5.27228185e-05 2.28126155e-04 1.00963227e-02 3.20852996e-04
 2.40383597e-05 2.73194746e-04 3.70087910e-05 8.76285374e-01
 7.76026445e-03 4.41956380e-03 9.02823173e-03 7.78583288e-02
 3.09493131e-04 3.95657233e-04 1.63044352e-02 6.11265097e-03
 1.07579697e-02 2.15925742e-04 4.14380280e-04 5.96641505e-04
 1.37932040e-02 3.39145839e-01 3.37582603e-02 7.63028220e-05
 2.89688736e-01 2.95282152e-05 3.99551005e-04 3.97361964e-06
 3.76600660e-02 4.06343315e-04 4.80212905e-02 2.52950849e-05
 6.18508995e-01 9.79725854e-04 8.86421919e-01 3.11637676e-04
 1.42176068e-04 2.51065474e-03 1.14038085e-05 1.06040398e-02
 9.16233039e-05 4.93812328e-03 4.72539710e-03 4.19697724e-03
 2.58671911e-03 1.40767952e-03 2.00897064e-02 3.33386548e-02
 2.53306841e-03 2.64430046e-02 2.85577634e-03 2.04349290e-05
 5.13612339e-03 1.86841597e-03 4.17207368e-04 9.58243254e-05
 3.51849030e-06 7.16610579e-03 5.68691269e-03 2.45753340e-02
 1.49277097e-04 6.43472740e-05 9.99940634e-01 4.37175557e-02
 4.34935205e-02 2.46866941e-01 8.62764657e-01 1.13008097e-01
 5.94582925e-05]","[0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
 0 1 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0
 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0
 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0]"
8,model_XGB,5,3,120,19,0.5919715447154471,0.625,0.20833333333333334,0.4569504153367655,0.3125,0.29970173656513555,,test,imbalanced,"[1.24441023e-04 4.65412252e-03 4.12891059e-05 3.23452230e-04
 1.97537174e-03 1.72450412e-02 8.32444202e-05 1.69127656e-03
 1.94536187e-04 4.65201773e-03 1.15194209e-02 1.61048002e-03
 1.02983424e-04 2.54658726e-03 3.19499552e-01 5.08920231e-04
 6.44561005e-05 9.79831791e-04 8.16928327e-01 5.64485454e-05
 2.15773080e-02 9.94738284e-03 1.52815077e-02 1.91574320e-01
 3.71049382e-02 4.18690071e-02 2.20704009e-03 7.13337883e-02
 2.53874873e-06 9.99451101e-01 1.67403196e-03 1.39464959e-04
 2.72378023e-03 1.93669302e-06 1.95355546e-02 1.44444993e-02
 5.94207421e-02 8.24761592e-05 1.12270154e-02 2.42079864e-03
 1.29072890e-02 4.77998368e-02 3.23502034e-01 4.83213216e-02
 2.99623207e-04 4.93428716e-03 5.77334821e-01 1.32114146e-04
 2.26619840e-03 1.54099234e-05 1.09461201e-02 1.97453052e-03
 9.36483964e-02 3.49337980e-03 2.59792246e-03 6.76430622e-03
 1.62473098e-05 9.18962178e-05 4.22204509e-02 6.31325180e-03
 7.62213543e-02 2.39803866e-01 5.28619450e-04 5.12606129e-02
 3.37325688e-03 5.70804055e-04 3.87354894e-03 4.53768618e-04
 8.35828017e-03 1.75283334e-04 4.86861691e-02 5.41649163e-01
 1.59910614e-05 1.25162723e-03 1.79355860e-01 1.00806262e-03
 1.91538408e-02 3.26906797e-03 1.86633524e-02 5.35860854e-05
 3.72084626e-03 2.35993601e-02 1.17422536e-03 8.60023871e-02
 8.82326185e-06 1.41871065e-01 6.27203891e-03 4.16095974e-03
 4.21174206e-02 2.14106884e-04 4.38593030e-02 2.23251758e-04
 2.64105882e-04 1.93375177e-04 1.95337757e-01 5.30863654e-05
 2.82059759e-01 1.60830808e-04 2.36855503e-02 6.01889566e-03
 6.58140797e-03 1.46660302e-03 1.04633742e-04 8.38178117e-03
 2.34092516e-03 2.05683126e-03 1.11751747e-03 3.64350900e-03
 1.93782221e-03 1.12131960e-03 2.13545524e-02 9.10745561e-03
 1.03039376e-03 3.47271306e-03 2.32698818e-04 2.88985029e-04
 7.30347063e-04 7.04413578e-02 9.13208783e-01 2.52419093e-04
 1.18445256e-03 7.46321082e-02 2.83267203e-04 4.25110199e-02
 1.61473313e-03 6.64303298e-05 7.23894162e-04 7.35774279e-01
 7.25338578e-01 9.06260451e-04 2.03993113e-06 6.82560727e-04
 2.64786959e-05 9.71584737e-01 7.63795851e-03 2.66640563e-05
 3.98777775e-04 4.41083859e-04 3.84302549e-02 6.72334645e-05
 1.43151339e-02 3.25277942e-04 1.56796863e-03 2.85184514e-02
 3.86313088e-02 1.00165308e-02 1.30619865e-03]","[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0
 0 0 0 1 0 1 0 0 0 1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0
 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0
 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0]"
9,model_XGB,192,0,999,0,1.0,1.0,1.0,1.0,1.0,1.0,,train,imbalanced,"[5.3805956e-03 4.9871457e-04 3.4038132e-04 ... 8.9305022e-06 1.9614674e-04
 7.8025274e-05]",[0 0 0 ... 0 0 0]
