,model,data,series,metrics,values
0,model_XGB,train,imbalanced,tp,170.0
1,model_XGB,val,imbalanced,tp,15.0
2,model_XGB,test,imbalanced,tp,5.0
3,model_XGB,train,imbalanced,tp,170.0
4,model_XGB,val,imbalanced,tp,14.0
5,model_XGB,test,imbalanced,tp,5.0
6,model_XGB,train,imbalanced,tp,170.0
7,model_XGB,val,imbalanced,tp,13.0
8,model_XGB,test,imbalanced,tp,5.0
9,model_XGB,train,imbalanced,tp,171.0
10,model_XGB,val,imbalanced,tp,10.0
11,model_XGB,test,imbalanced,tp,4.0
12,model_XGB,train,imbalanced,tp,171.0
13,model_XGB,val,imbalanced,tp,13.0
14,model_XGB,test,imbalanced,tp,5.0
15,model_XGB,train,SMOTE,tp,866.0
16,model_XGB,val,SMOTE,tp,1.0
17,model_XGB,test,SMOTE,tp,6.0
18,model_XGB,train,SMOTE,tp,866.0
19,model_XGB,val,SMOTE,tp,0.0
20,model_XGB,test,SMOTE,tp,7.0
21,model_XGB,train,SMOTE,tp,861.0
22,model_XGB,val,SMOTE,tp,0.0
23,model_XGB,test,SMOTE,tp,3.0
24,model_XGB,train,SMOTE,tp,867.0
25,model_XGB,val,SMOTE,tp,1.0
26,model_XGB,test,SMOTE,tp,5.0
27,model_XGB,train,SMOTE,tp,870.0
28,model_XGB,val,SMOTE,tp,2.0
29,model_XGB,test,SMOTE,tp,4.0
30,model_logistic,train,imbalanced,tp,136.0
31,model_logistic,val,imbalanced,tp,31.0
32,model_logistic,train,imbalanced,tp,136.0
33,model_logistic,val,imbalanced,tp,31.0
34,model_logistic,test,imbalanced,tp,13.0
35,model_logistic,train,imbalanced,tp,134.0
36,model_logistic,val,imbalanced,tp,29.0
37,model_logistic,test,imbalanced,tp,13.0
38,model_logistic,train,imbalanced,tp,133.0
39,model_logistic,val,imbalanced,tp,34.0
40,model_logistic,test,imbalanced,tp,15.0
41,model_logistic,train,imbalanced,tp,137.0
42,model_logistic,val,imbalanced,tp,28.0
43,model_logistic,test,imbalanced,tp,15.0
44,model_logistic,train,imbalanced,tp,136.0
45,model_logistic,val,imbalanced,tp,35.0
46,model_logistic,test,imbalanced,tp,15.0
47,model_logistic,train,SMOTE,tp,745.0
48,model_logistic,val,SMOTE,tp,34.0
49,model_logistic,test,SMOTE,tp,15.0
50,model_logistic,train,SMOTE,tp,733.0
51,model_logistic,val,SMOTE,tp,33.0
52,model_logistic,test,SMOTE,tp,15.0
53,model_logistic,train,SMOTE,tp,750.0
54,model_logistic,val,SMOTE,tp,33.0
55,model_logistic,test,SMOTE,tp,15.0
56,model_logistic,train,SMOTE,tp,742.0
57,model_logistic,val,SMOTE,tp,32.0
58,model_logistic,test,SMOTE,tp,15.0
59,model_logistic,train,SMOTE,tp,731.0
60,model_logistic,val,SMOTE,tp,35.0
61,model_logistic,test,SMOTE,tp,15.0
62,model_LinearSVC,train,imbalanced,tp,138.0
63,model_LinearSVC,val,imbalanced,tp,32.0
64,model_LinearSVC,test,imbalanced,tp,14.0
65,model_LinearSVC,train,imbalanced,tp,139.0
66,model_LinearSVC,val,imbalanced,tp,29.0
67,model_LinearSVC,test,imbalanced,tp,13.0
68,model_LinearSVC,train,imbalanced,tp,137.0
69,model_LinearSVC,val,imbalanced,tp,34.0
70,model_LinearSVC,test,imbalanced,tp,14.0
71,model_LinearSVC,train,imbalanced,tp,141.0
72,model_LinearSVC,val,imbalanced,tp,29.0
73,model_LinearSVC,test,imbalanced,tp,15.0
74,model_LinearSVC,train,imbalanced,tp,137.0
75,model_LinearSVC,val,imbalanced,tp,32.0
76,model_LinearSVC,test,imbalanced,tp,15.0
77,model_LinearSVC,train,SMOTE,tp,749.0
78,model_LinearSVC,val,SMOTE,tp,32.0
79,model_LinearSVC,test,SMOTE,tp,14.0
80,model_LinearSVC,train,SMOTE,tp,752.0
81,model_LinearSVC,val,SMOTE,tp,28.0
82,model_LinearSVC,test,SMOTE,tp,12.0
83,model_LinearSVC,train,SMOTE,tp,742.0
84,model_LinearSVC,val,SMOTE,tp,31.0
85,model_LinearSVC,test,SMOTE,tp,15.0
86,model_LinearSVC,train,SMOTE,tp,738.0
87,model_LinearSVC,val,SMOTE,tp,28.0
88,model_LinearSVC,test,SMOTE,tp,16.0
89,model_LinearSVC,train,SMOTE,tp,737.0
90,model_LinearSVC,val,SMOTE,tp,31.0
91,model_LinearSVC,test,SMOTE,tp,13.0
92,model_SVC,train,imbalanced,tp,127.0
93,model_SVC,val,imbalanced,tp,30.0
94,model_SVC,test,imbalanced,tp,16.0
95,model_SVC,train,imbalanced,tp,122.0
96,model_SVC,val,imbalanced,tp,31.0
97,model_SVC,test,imbalanced,tp,14.0
98,model_SVC,train,imbalanced,tp,114.0
99,model_SVC,val,imbalanced,tp,35.0
100,model_SVC,test,imbalanced,tp,15.0
101,model_SVC,train,imbalanced,tp,126.0
102,model_SVC,val,imbalanced,tp,30.0
103,model_SVC,test,imbalanced,tp,15.0
104,model_SVC,train,imbalanced,tp,123.0
105,model_SVC,val,imbalanced,tp,31.0
106,model_SVC,test,imbalanced,tp,14.0
107,model_SVC,train,SMOTE,tp,888.0
108,model_SVC,val,SMOTE,tp,1.0
109,model_SVC,test,SMOTE,tp,0.0
110,model_SVC,train,SMOTE,tp,888.0
111,model_SVC,val,SMOTE,tp,2.0
112,model_SVC,test,SMOTE,tp,0.0
113,model_SVC,train,SMOTE,tp,888.0
114,model_SVC,val,SMOTE,tp,4.0
115,model_SVC,test,SMOTE,tp,0.0
116,model_SVC,train,SMOTE,tp,888.0
117,model_SVC,val,SMOTE,tp,1.0
118,model_SVC,test,SMOTE,tp,0.0
119,model_SVC,train,SMOTE,tp,888.0
120,model_SVC,val,SMOTE,tp,2.0
121,model_SVC,test,SMOTE,tp,0.0
122,model_RandomForest,train,imbalanced,tp,142.0
123,model_RandomForest,val,imbalanced,tp,17.0
124,model_RandomForest,test,imbalanced,tp,4.0
125,model_RandomForest,train,imbalanced,tp,142.0
126,model_RandomForest,val,imbalanced,tp,19.0
127,model_RandomForest,test,imbalanced,tp,6.0
128,model_RandomForest,train,imbalanced,tp,138.0
129,model_RandomForest,val,imbalanced,tp,20.0
130,model_RandomForest,test,imbalanced,tp,3.0
131,model_RandomForest,train,imbalanced,tp,147.0
132,model_RandomForest,val,imbalanced,tp,16.0
133,model_RandomForest,test,imbalanced,tp,5.0
134,model_RandomForest,train,imbalanced,tp,141.0
135,model_RandomForest,val,imbalanced,tp,22.0
136,model_RandomForest,test,imbalanced,tp,3.0
137,model_RandomForest,train,SMOTE,tp,858.0
138,model_RandomForest,val,SMOTE,tp,12.0
139,model_RandomForest,test,SMOTE,tp,3.0
140,model_RandomForest,train,SMOTE,tp,860.0
141,model_RandomForest,val,SMOTE,tp,15.0
142,model_RandomForest,test,SMOTE,tp,3.0
143,model_RandomForest,train,SMOTE,tp,856.0
144,model_RandomForest,val,SMOTE,tp,13.0
145,model_RandomForest,test,SMOTE,tp,3.0
146,model_RandomForest,train,SMOTE,tp,855.0
147,model_RandomForest,val,SMOTE,tp,9.0
148,model_RandomForest,test,SMOTE,tp,2.0
149,model_RandomForest,train,SMOTE,tp,863.0
